train_seed,id,world,seed,repeat,checkpoint_steps,planner,steps,max_steps,travel_m,start_dist_m,dist_to_goal_m,min_dist_to_goal_m,min_dist_step,net_disp_m,cells_visited,min_clear_m,stopped_steps,collisions,hit_unknown,reached_goal,r_progress,r_coverage,r_time,r_stop,r_clear,r_seen,r_revisit,r_terminal,goal_tol_m,robot_r,goal_x,goal_y
7,10,maze,106,0,149994,policy,3000,3000,130.4942626953125,20.522558212280273,21.961624145507812,19.320383071899414,34,1.5758352279663086,7,0.8195835947990417,0,0,0,0,15.357098579406738,5.116321563720703,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,16.57559585571289,16.57559585571289
7,11,maze,106,1,149994,policy,3000,3000,115.70288848876953,20.522558212280273,22.05727195739746,19.234086990356445,33,1.7177026271820068,6,0.8387194871902466,0,0,0,0,16.73965835571289,4.38541841506958,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,16.57559585571289,16.57559585571289
8,0,maze,101,0,149994,policy,3000,3000,185.01663208007812,44.0926628112793,36.63628387451172,9.605958938598633,2030,12.322674751281738,142,0.6325918436050415,0,0,0,0,55.8946418762207,48.30728530883789,-2.999964952468872,0.0,-8.232654571533203,0.0,0.0,0.0,3.0,0.6,36.94566345214844,31.30017852783203
8,1,maze,101,1,149994,policy,3000,3000,168.3767852783203,44.0926628112793,20.108251571655273,15.514087677001953,2413,24.632097244262695,89,0.6569664478302002,0,0,0,0,111.72850036621094,30.277156829833984,-2.999964952468872,0.0,-3.9346396923065186,0.0,0.0,0.0,3.0,0.6,36.94566345214844,31.30017852783203
8,2,maze,102,0,149994,policy,3000,3000,135.86697387695312,26.98373794555664,13.400547981262207,12.654814720153809,320,13.631794929504395,21,0.8836737871170044,0,0,0,0,101.03700256347656,11.673697471618652,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,17.088871002197266,24.572813034057617
8,3,maze,102,1,149994,policy,2625,3000,124.4827880859375,26.98373794555664,18.67007827758789,12.85837173461914,399,8.59330940246582,33,0.5902786254882812,0,1,1,0,63.6925048828125,18.344383239746094,-2.6249921321868896,0.0,-53.72547912597656,0.0,0.0,-300.0,3.0,0.6,17.088871002197266,24.572813034057617
8,4,maze,103,0,149994,policy,3000,3000,186.07752990722656,36.81302261352539,30.016677856445312,3.2920093536376953,1402,12.35717487335205,157,0.7975664138793945,0,0,0,0,67.13481140136719,63.97184371948242,-2.999964952468872,0.0,-0.0013221397530287504,0.0,0.0,0.0,3.0,0.6,28.44996452331543,28.44996452331543
8,5,maze,103,1,149994,policy,938,3000,45.170265197753906,36.81302261352539,31.24066734313965,30.173118591308594,196,9.74893856048584,17,0.5874692797660828,0,1,1,0,52.96462631225586,6.926896572113037,-0.9379914999008179,0.0,-11.15224552154541,0.0,0.0,-300.0,3.0,0.6,28.44996452331543,28.44996452331543
8,6,maze,104,0,149994,policy,3000,3000,132.79190063476562,39.78676986694336,31.186697006225586,31.027170181274414,223,11.23583698272705,21,0.6057156920433044,0,0,0,0,56.48042678833008,7.917206764221191,-2.999964952468872,0.0,-28.314472198486328,0.0,0.0,0.0,3.0,0.6,22.45723533630371,37.262062072753906
8,7,maze,104,1,149994,policy,3000,3000,165.1735382080078,39.78676986694336,16.057476043701172,16.002513885498047,2281,26.648836135864258,94,0.6036171913146973,0,0,0,0,133.95823669433594,35.438941955566406,-2.999964952468872,0.0,-14.024747848510742,0.0,0.0,0.0,3.0,0.6,22.45723533630371,37.262062072753906
